filename	barcode(s)
unc.edu.5cd9444b-4c4c-489a-b491-583da5510c80.2531449.rsem.isoforms.results	TCGA-ZU-A8S4-01A-11R-A41I-07
unc.edu.5cd9444b-4c4c-489a-b491-583da5510c80.2531484.rsem.genes.normalized_results	TCGA-ZU-A8S4-01A-11R-A41I-07
unc.edu.5cd9444b-4c4c-489a-b491-583da5510c80.2531487.rsem.isoforms.normalized_results	TCGA-ZU-A8S4-01A-11R-A41I-07
unc.edu.5cd9444b-4c4c-489a-b491-583da5510c80.2531765.bt.exon_quantification.txt	TCGA-ZU-A8S4-01A-11R-A41I-07
unc.edu.60f80712-30c2-4026-9853-9733f641c05f.2532004.junction_quantification.txt	TCGA-W5-AA2Q-01A-11R-A41I-07
unc.edu.60f80712-30c2-4026-9853-9733f641c05f.2532808.rsem.genes.results	TCGA-W5-AA2Q-01A-11R-A41I-07
unc.edu.60f80712-30c2-4026-9853-9733f641c05f.2532809.rsem.isoforms.results	TCGA-W5-AA2Q-01A-11R-A41I-07
unc.edu.60f80712-30c2-4026-9853-9733f641c05f.2532830.rsem.genes.normalized_results	TCGA-W5-AA2Q-01A-11R-A41I-07
unc.edu.60f80712-30c2-4026-9853-9733f641c05f.2532838.rsem.isoforms.normalized_results	TCGA-W5-AA2Q-01A-11R-A41I-07
unc.edu.60f80712-30c2-4026-9853-9733f641c05f.2533058.bt.exon_quantification.txt	TCGA-W5-AA2Q-01A-11R-A41I-07
unc.edu.63a3bd41-6a68-4eb5-ad4f-0fd05be97ac1.2528249.junction_quantification.txt	TCGA-ZH-A8Y2-01A-11R-A41I-07
unc.edu.63a3bd41-6a68-4eb5-ad4f-0fd05be97ac1.2531019.rsem.genes.results	TCGA-ZH-A8Y2-01A-11R-A41I-07
unc.edu.63a3bd41-6a68-4eb5-ad4f-0fd05be97ac1.2531020.rsem.isoforms.results	TCGA-ZH-A8Y2-01A-11R-A41I-07
unc.edu.63a3bd41-6a68-4eb5-ad4f-0fd05be97ac1.2531037.rsem.genes.normalized_results	TCGA-ZH-A8Y2-01A-11R-A41I-07
unc.edu.63a3bd41-6a68-4eb5-ad4f-0fd05be97ac1.2531038.rsem.isoforms.normalized_results	TCGA-ZH-A8Y2-01A-11R-A41I-07
unc.edu.63a3bd41-6a68-4eb5-ad4f-0fd05be97ac1.2531294.bt.exon_quantification.txt	TCGA-ZH-A8Y2-01A-11R-A41I-07
unc.edu.699c7545-9b63-4b7d-9f65-fc538ac31ff3.2543379.junction_quantification.txt	TCGA-W5-AA31-11A-11R-A41I-07
unc.edu.699c7545-9b63-4b7d-9f65-fc538ac31ff3.2544095.rsem.genes.results	TCGA-W5-AA31-11A-11R-A41I-07
unc.edu.699c7545-9b63-4b7d-9f65-fc538ac31ff3.2544096.rsem.isoforms.results	TCGA-W5-AA31-11A-11R-A41I-07
unc.edu.699c7545-9b63-4b7d-9f65-fc538ac31ff3.2544124.rsem.genes.normalized_results	TCGA-W5-AA31-11A-11R-A41I-07
unc.edu.699c7545-9b63-4b7d-9f65-fc538ac31ff3.2544125.rsem.isoforms.normalized_results	TCGA-W5-AA31-11A-11R-A41I-07
unc.edu.699c7545-9b63-4b7d-9f65-fc538ac31ff3.2544241.bt.exon_quantification.txt	TCGA-W5-AA31-11A-11R-A41I-07
unc.edu.6a8ffc5d-444e-4864-bafd-ddf1ef900ef0.2536583.junction_quantification.txt	TCGA-3X-AAVA-01A-11R-A41I-07
unc.edu.6a8ffc5d-444e-4864-bafd-ddf1ef900ef0.2537031.rsem.genes.results	TCGA-3X-AAVA-01A-11R-A41I-07
unc.edu.6a8ffc5d-444e-4864-bafd-ddf1ef900ef0.2537032.rsem.isoforms.results	TCGA-3X-AAVA-01A-11R-A41I-07
unc.edu.6a8ffc5d-444e-4864-bafd-ddf1ef900ef0.2537044.rsem.genes.normalized_results	TCGA-3X-AAVA-01A-11R-A41I-07
unc.edu.6a8ffc5d-444e-4864-bafd-ddf1ef900ef0.2537045.rsem.isoforms.normalized_results	TCGA-3X-AAVA-01A-11R-A41I-07
unc.edu.6a8ffc5d-444e-4864-bafd-ddf1ef900ef0.2537124.bt.exon_quantification.txt	TCGA-3X-AAVA-01A-11R-A41I-07
unc.edu.6d6c5a87-0773-418f-ae97-52e1cec8b8b1.2537135.junction_quantification.txt	TCGA-ZH-A8Y8-01A-51R-A41I-07
unc.edu.6d6c5a87-0773-418f-ae97-52e1cec8b8b1.2537721.rsem.genes.results	TCGA-ZH-A8Y8-01A-51R-A41I-07
unc.edu.6d6c5a87-0773-418f-ae97-52e1cec8b8b1.2537722.rsem.isoforms.results	TCGA-ZH-A8Y8-01A-51R-A41I-07
unc.edu.6d6c5a87-0773-418f-ae97-52e1cec8b8b1.2537735.rsem.isoforms.normalized_results	TCGA-ZH-A8Y8-01A-51R-A41I-07
unc.edu.6d6c5a87-0773-418f-ae97-52e1cec8b8b1.2537738.rsem.genes.normalized_results	TCGA-ZH-A8Y8-01A-51R-A41I-07
unc.edu.6d6c5a87-0773-418f-ae97-52e1cec8b8b1.2537933.bt.exon_quantification.txt	TCGA-ZH-A8Y8-01A-51R-A41I-07
unc.edu.6fcc3918-f4b0-42ab-b00c-027175606cbd.2527499.junction_quantification.txt	TCGA-W5-AA2W-01A-11R-A41I-07
unc.edu.6fcc3918-f4b0-42ab-b00c-027175606cbd.2530781.rsem.genes.results	TCGA-W5-AA2W-01A-11R-A41I-07
unc.edu.6fcc3918-f4b0-42ab-b00c-027175606cbd.2530782.rsem.isoforms.results	TCGA-W5-AA2W-01A-11R-A41I-07
unc.edu.6fcc3918-f4b0-42ab-b00c-027175606cbd.2530837.rsem.genes.normalized_results	TCGA-W5-AA2W-01A-11R-A41I-07
unc.edu.6fcc3918-f4b0-42ab-b00c-027175606cbd.2530838.rsem.isoforms.normalized_results	TCGA-W5-AA2W-01A-11R-A41I-07
unc.edu.6fcc3918-f4b0-42ab-b00c-027175606cbd.2531306.bt.exon_quantification.txt	TCGA-W5-AA2W-01A-11R-A41I-07
unc.edu.7bb15e31-2b7d-4926-b78a-0d2aa7bddd78.2543473.junction_quantification.txt	TCGA-YR-A95A-01A-12R-A41I-07
unc.edu.7bb15e31-2b7d-4926-b78a-0d2aa7bddd78.2544067.rsem.genes.results	TCGA-YR-A95A-01A-12R-A41I-07
unc.edu.7bb15e31-2b7d-4926-b78a-0d2aa7bddd78.2544068.rsem.isoforms.results	TCGA-YR-A95A-01A-12R-A41I-07
unc.edu.7bb15e31-2b7d-4926-b78a-0d2aa7bddd78.2544080.rsem.genes.normalized_results	TCGA-YR-A95A-01A-12R-A41I-07
unc.edu.7bb15e31-2b7d-4926-b78a-0d2aa7bddd78.2544081.rsem.isoforms.normalized_results	TCGA-YR-A95A-01A-12R-A41I-07
unc.edu.7bb15e31-2b7d-4926-b78a-0d2aa7bddd78.2544170.bt.exon_quantification.txt	TCGA-YR-A95A-01A-12R-A41I-07
unc.edu.84e6718b-08c9-475d-906d-045e8f5477a0.2530379.junction_quantification.txt	TCGA-W5-AA34-01A-11R-A41I-07
unc.edu.84e6718b-08c9-475d-906d-045e8f5477a0.2531840.rsem.genes.results	TCGA-W5-AA34-01A-11R-A41I-07
unc.edu.84e6718b-08c9-475d-906d-045e8f5477a0.2531841.rsem.isoforms.results	TCGA-W5-AA34-01A-11R-A41I-07
unc.edu.84e6718b-08c9-475d-906d-045e8f5477a0.2531918.rsem.genes.normalized_results	TCGA-W5-AA34-01A-11R-A41I-07
unc.edu.84e6718b-08c9-475d-906d-045e8f5477a0.2531919.rsem.isoforms.normalized_results	TCGA-W5-AA34-01A-11R-A41I-07
unc.edu.84e6718b-08c9-475d-906d-045e8f5477a0.2532050.bt.exon_quantification.txt	TCGA-W5-AA34-01A-11R-A41I-07
unc.edu.88336d42-a31c-448f-a077-2608786c80fe.2532722.junction_quantification.txt	TCGA-3X-AAVB-01A-31R-A41I-07
unc.edu.88336d42-a31c-448f-a077-2608786c80fe.2533556.rsem.genes.results	TCGA-3X-AAVB-01A-31R-A41I-07
unc.edu.88336d42-a31c-448f-a077-2608786c80fe.2533557.rsem.isoforms.results	TCGA-3X-AAVB-01A-31R-A41I-07
unc.edu.88336d42-a31c-448f-a077-2608786c80fe.2533599.rsem.genes.normalized_results	TCGA-3X-AAVB-01A-31R-A41I-07
unc.edu.88336d42-a31c-448f-a077-2608786c80fe.2533600.rsem.isoforms.normalized_results	TCGA-3X-AAVB-01A-31R-A41I-07
unc.edu.88336d42-a31c-448f-a077-2608786c80fe.2533808.bt.exon_quantification.txt	TCGA-3X-AAVB-01A-31R-A41I-07
unc.edu.8c8d5e98-023b-4496-a237-2632c609f627.2530161.junction_quantification.txt	TCGA-3X-AAVC-01A-21R-A41I-07
unc.edu.8c8d5e98-023b-4496-a237-2632c609f627.2531561.rsem.genes.results	TCGA-3X-AAVC-01A-21R-A41I-07
unc.edu.8c8d5e98-023b-4496-a237-2632c609f627.2531562.rsem.isoforms.results	TCGA-3X-AAVC-01A-21R-A41I-07
unc.edu.8c8d5e98-023b-4496-a237-2632c609f627.2531654.rsem.isoforms.normalized_results	TCGA-3X-AAVC-01A-21R-A41I-07
unc.edu.8c8d5e98-023b-4496-a237-2632c609f627.2531657.rsem.genes.normalized_results	TCGA-3X-AAVC-01A-21R-A41I-07
unc.edu.8c8d5e98-023b-4496-a237-2632c609f627.2531935.bt.exon_quantification.txt	TCGA-3X-AAVC-01A-21R-A41I-07
unc.edu.9d7ac93a-ca45-44ed-a326-5e404e0d3b85.2560515.junction_quantification.txt	TCGA-W5-AA34-11A-11R-A41I-07
unc.edu.9d7ac93a-ca45-44ed-a326-5e404e0d3b85.2561296.rsem.genes.results	TCGA-W5-AA34-11A-11R-A41I-07
unc.edu.9d7ac93a-ca45-44ed-a326-5e404e0d3b85.2561297.rsem.isoforms.results	TCGA-W5-AA34-11A-11R-A41I-07
unc.edu.9d7ac93a-ca45-44ed-a326-5e404e0d3b85.2561319.rsem.genes.normalized_results	TCGA-W5-AA34-11A-11R-A41I-07
unc.edu.9d7ac93a-ca45-44ed-a326-5e404e0d3b85.2561327.rsem.isoforms.normalized_results	TCGA-W5-AA34-11A-11R-A41I-07
unc.edu.9d7ac93a-ca45-44ed-a326-5e404e0d3b85.2561480.bt.exon_quantification.txt	TCGA-W5-AA34-11A-11R-A41I-07
unc.edu.a59098ee-abee-46cc-af4a-cca9d501daec.2526943.junction_quantification.txt	TCGA-W5-AA2U-11A-11R-A41I-07
unc.edu.a59098ee-abee-46cc-af4a-cca9d501daec.2531055.rsem.genes.results	TCGA-W5-AA2U-11A-11R-A41I-07
unc.edu.a59098ee-abee-46cc-af4a-cca9d501daec.2531056.rsem.isoforms.results	TCGA-W5-AA2U-11A-11R-A41I-07
unc.edu.a59098ee-abee-46cc-af4a-cca9d501daec.2531082.rsem.isoforms.normalized_results	TCGA-W5-AA2U-11A-11R-A41I-07
unc.edu.a59098ee-abee-46cc-af4a-cca9d501daec.2531087.rsem.genes.normalized_results	TCGA-W5-AA2U-11A-11R-A41I-07
unc.edu.a59098ee-abee-46cc-af4a-cca9d501daec.2531320.bt.exon_quantification.txt	TCGA-W5-AA2U-11A-11R-A41I-07
unc.edu.a6369fb0-1ca6-4215-9f2b-f4e8647e6f5a.2529924.junction_quantification.txt	TCGA-W5-AA2X-11A-11R-A41I-07
unc.edu.a6369fb0-1ca6-4215-9f2b-f4e8647e6f5a.2531477.rsem.genes.results	TCGA-W5-AA2X-11A-11R-A41I-07
unc.edu.a6369fb0-1ca6-4215-9f2b-f4e8647e6f5a.2531478.rsem.isoforms.results	TCGA-W5-AA2X-11A-11R-A41I-07
unc.edu.a6369fb0-1ca6-4215-9f2b-f4e8647e6f5a.2531507.rsem.isoforms.normalized_results	TCGA-W5-AA2X-11A-11R-A41I-07
unc.edu.a6369fb0-1ca6-4215-9f2b-f4e8647e6f5a.2531510.rsem.genes.normalized_results	TCGA-W5-AA2X-11A-11R-A41I-07
unc.edu.a6369fb0-1ca6-4215-9f2b-f4e8647e6f5a.2531749.bt.exon_quantification.txt	TCGA-W5-AA2X-11A-11R-A41I-07
unc.edu.a8aea83d-802a-48b3-aea2-65e78fefc9b0.2536736.junction_quantification.txt	TCGA-W5-AA2I-11A-11R-A41I-07
unc.edu.a8aea83d-802a-48b3-aea2-65e78fefc9b0.2537270.rsem.genes.results	TCGA-W5-AA2I-11A-11R-A41I-07
unc.edu.a8aea83d-802a-48b3-aea2-65e78fefc9b0.2537271.rsem.isoforms.results	TCGA-W5-AA2I-11A-11R-A41I-07
unc.edu.a8aea83d-802a-48b3-aea2-65e78fefc9b0.2537285.rsem.genes.normalized_results	TCGA-W5-AA2I-11A-11R-A41I-07
unc.edu.a8aea83d-802a-48b3-aea2-65e78fefc9b0.2537286.rsem.isoforms.normalized_results	TCGA-W5-AA2I-11A-11R-A41I-07
unc.edu.a8aea83d-802a-48b3-aea2-65e78fefc9b0.2537411.bt.exon_quantification.txt	TCGA-W5-AA2I-11A-11R-A41I-07
unc.edu.b0ada585-0834-406b-b02c-b06c171882ff.2543834.junction_quantification.txt	TCGA-W5-AA2H-01A-31R-A41I-07
unc.edu.b0ada585-0834-406b-b02c-b06c171882ff.2544297.rsem.genes.results	TCGA-W5-AA2H-01A-31R-A41I-07
unc.edu.b0ada585-0834-406b-b02c-b06c171882ff.2544298.rsem.isoforms.results	TCGA-W5-AA2H-01A-31R-A41I-07
unc.edu.b0ada585-0834-406b-b02c-b06c171882ff.2544310.rsem.isoforms.normalized_results	TCGA-W5-AA2H-01A-31R-A41I-07
unc.edu.b0ada585-0834-406b-b02c-b06c171882ff.2544313.rsem.genes.normalized_results	TCGA-W5-AA2H-01A-31R-A41I-07
unc.edu.b0ada585-0834-406b-b02c-b06c171882ff.2544625.bt.exon_quantification.txt	TCGA-W5-AA2H-01A-31R-A41I-07
unc.edu.b4468779-3068-40d2-809c-7b513d0a752f.2532174.junction_quantification.txt	TCGA-W5-AA31-01A-11R-A41I-07
unc.edu.b4468779-3068-40d2-809c-7b513d0a752f.2533365.rsem.genes.results	TCGA-W5-AA31-01A-11R-A41I-07
unc.edu.b4468779-3068-40d2-809c-7b513d0a752f.2533366.rsem.isoforms.results	TCGA-W5-AA31-01A-11R-A41I-07
unc.edu.b4468779-3068-40d2-809c-7b513d0a752f.2533442.rsem.isoforms.normalized_results	TCGA-W5-AA31-01A-11R-A41I-07
unc.edu.b4468779-3068-40d2-809c-7b513d0a752f.2533443.rsem.genes.normalized_results	TCGA-W5-AA31-01A-11R-A41I-07
unc.edu.b4468779-3068-40d2-809c-7b513d0a752f.2533635.bt.exon_quantification.txt	TCGA-W5-AA31-01A-11R-A41I-07
unc.edu.b8dabef1-a207-4c40-bf80-d61ad7dbf571.2530482.junction_quantification.txt	TCGA-W5-AA36-01A-11R-A41I-07
unc.edu.b8dabef1-a207-4c40-bf80-d61ad7dbf571.2531861.rsem.genes.results	TCGA-W5-AA36-01A-11R-A41I-07
unc.edu.b8dabef1-a207-4c40-bf80-d61ad7dbf571.2531862.rsem.isoforms.results	TCGA-W5-AA36-01A-11R-A41I-07
unc.edu.b8dabef1-a207-4c40-bf80-d61ad7dbf571.2531924.rsem.genes.normalized_results	TCGA-W5-AA36-01A-11R-A41I-07
unc.edu.b8dabef1-a207-4c40-bf80-d61ad7dbf571.2531927.rsem.isoforms.normalized_results	TCGA-W5-AA36-01A-11R-A41I-07
unc.edu.b8dabef1-a207-4c40-bf80-d61ad7dbf571.2532053.bt.exon_quantification.txt	TCGA-W5-AA36-01A-11R-A41I-07
unc.edu.bd5dc5da-bd55-45d8-a045-93d99b737f0a.2536546.junction_quantification.txt	TCGA-ZU-A8S4-11A-11R-A41I-07
unc.edu.bd5dc5da-bd55-45d8-a045-93d99b737f0a.2537100.rsem.genes.results	TCGA-ZU-A8S4-11A-11R-A41I-07
unc.edu.bd5dc5da-bd55-45d8-a045-93d99b737f0a.2537101.rsem.isoforms.results	TCGA-ZU-A8S4-11A-11R-A41I-07
unc.edu.bd5dc5da-bd55-45d8-a045-93d99b737f0a.2537120.rsem.genes.normalized_results	TCGA-ZU-A8S4-11A-11R-A41I-07
unc.edu.bd5dc5da-bd55-45d8-a045-93d99b737f0a.2537121.rsem.isoforms.normalized_results	TCGA-ZU-A8S4-11A-11R-A41I-07
unc.edu.bd5dc5da-bd55-45d8-a045-93d99b737f0a.2537260.bt.exon_quantification.txt	TCGA-ZU-A8S4-11A-11R-A41I-07
unc.edu.be89bf4d-75f7-4596-9251-490976f7e254.2529031.junction_quantification.txt	TCGA-ZD-A8I3-01A-11R-A41I-07
unc.edu.be89bf4d-75f7-4596-9251-490976f7e254.2531442.rsem.genes.results	TCGA-ZD-A8I3-01A-11R-A41I-07
unc.edu.be89bf4d-75f7-4596-9251-490976f7e254.2531443.rsem.isoforms.results	TCGA-ZD-A8I3-01A-11R-A41I-07
